chromosome_id,chromosome
0,[Bi]C=C[Bi]
1,[Bi]CCCCCC[Bi]
2,[Bi]C#CC=C[Bi]
3,[Bi]c1ccc([Bi])cc1
4,[Bi]c1ccc([Bi])[nH]1
5,[Bi]c1ccc2cc([Bi])ccc2c1
6,[Bi]c1ccc-2c(Cc3cc([Bi])ccc-23)c1
7,[Bi]CO[Bi]
8,[Bi]OC([Bi])=O
9,[Bi]c1ccc([Bi])o1
10,[Bi]C(=O)C=CC([Bi])=O
11,[Bi]C(=O)c1ccc(cc1)C([Bi])=O
12,[Bi]c1cnc([Bi])nc1
13,[Bi]Nc1ccc(N[Bi])cc1
14,[Bi]c1nc2cc([Bi])ccc2[nH]1
15,[Bi]c1nc2ccc([Bi])cc2[nH]1
16,[Bi]c1nc2cc3nc([Bi])[nH]c3cc2[nH]1
17,[Bi]CC(=O)N[Bi]
18,[Bi]CNC(=O)N[Bi]
19,[Bi]C(=O)NNC([Bi])=O
20,[Bi]NNC(=O)C([Bi])=O
21,[Bi]c1ccc2oc([Bi])nc2c1
22,[Bi]c1nc2ccc([Bi])cc2o1
23,[Bi]NC(=O)C=CC(=O)N[Bi]
24,[Bi]C(=O)C=CC(=O)N-[Bi]
25,[Bi]NC(=O)c1ccc([Bi])cc1
26,[Bi]Nc1ccc(C([Bi])=O)cc1
27,[Bi]N1C(=O)c2ccc([Bi])cc2C1=O
28,[Bi]NC(=O)c1ccc(cc1)C([Bi])=O
29,[Bi]C(=O)Nc1ccc(NC([Bi])=O)cc1
30,[Bi]n1c(=O)c2cc3c(cc2c1=O)c(=O)n([Bi])c3=O
31,[Bi]N1C(=O)c2cc3cc4Cc5cc6cc7C(=O)N([Bi])C(=O)c7cc6cc5Cc4cc3cc2C1=O
